Name,Street,City,Region,Postal Code,Phone,Fax,Email,Invoice Style
Watermark Insurance,1020 Brock Road South Suite 2005,Pickering,ON,L1W 3H2,,,,Generic Invoice
Wawanesa Insurance,203-20 Erb St West,Waterloo,ON,N2L 1T2,(519) 886-4320,(519) 747-0138,,AISI Invoice
Wawanesa Mutual Insurance,100 - 4110 Yonge Street,Toronto,ON,M2P 2B7,,,,AISI Invoice
"Weaver Simmons Barristers, Solicitors, Notaries","Brady Square
233 Brady St",Sudbury,ON,P3B 4H5,,,,Generic Invoice
West Parry Sound Health Center,6 Albert Street,Parry Sound,ON,P2A 3A4,,,,Generic Invoice
Western Assurance,2225 Erin Mills Parkway,Mississauga,ON,L5K 2S9,(800) 387-2934,(905) 829-6540,,AISI Invoice
Whitten & Lublin Professional Corporation,"141 Adelaide St W, Suite 420",Toronto,ON,M5H 3L5,(416) 640-2667,,,Generic Invoice
Wilfrid Laurier University,202 Reginal Street North,Waterloo,ON,N2J 3B6,,,,Generic Invoice
"Will Barristers LLP, Morin & Miller",322 Muskoka Road 3 North,Huntsville,ON,P1H 1C4,,,,Generic Invoice
Will Davidson LLP,220 Bay St Suite 1400,Toronto,ON,M5J 2W4,,,,Generic Invoice
William Kelly Professional Corp,197 Bond St East,Oshawa,ON,L1G 1B4,,,,Generic Invoice
Wise & Associates,202-1240 Bay St,Toronto,ON,M5R 2A7,,,,Generic Invoice
"WMCP, LLC",10800 Biscayne Boul Sute 580,Miami,FL,33161,,,,Generic Invoice
Wolf Kimelman ,1396 Eglinton Avenue West,Toronto,ON,M6C 2E4,(416) 365-1211,(416) 365-1218,,Generic Invoice
Wolfe Lawyers Professional Corporation ,"20 Eglinton Ave. W., Suite 1400",Toronto,ON,M4R 1K8,,,,Generic Invoice
WORKSAFE BC,,,BC,,1-888-967-5377,(604) 279-7590,,Generic Invoice
WSIB,"200 Front St. West
Suite 101",Toronto,ON,M5V 3J1,(416) 344-1000,(416) 344-4684,,WSIB Invoice (Ontario)
WSIB Appeals Tribunal,"505 University Ave, 7th Floor",Toronto,ON,M5G 2P2,,,,Generic Invoice
Xstrata Nickel,6 Edison Road,Falconbridge,ON,P0M 1S0,,,,Generic Invoice
York University,"4700 Keele Street,East Office Building, Suite C6",Toronto,ON,M3J 1P3,,,,Generic Invoice
ZAYOUNA LAW FIRM,"10 FOUR SEASONS PLACE, 
SUITE 510",TORONTO,ON,M9B 6H7,(416) 622-0003,,,Generic Invoice
Zeppieri & Associates,851 WILSON AVE,TORONTO,ON,M3K 1E6,(416) 631-9811,(416) 631-6170,,Generic Invoice
Zuber & Company LLP Litigation Counsel,"100 Simcoe St, Suite 303",Toronto,ON,M5H 3G2,,,,Generic Invoice
ZURICH INSURANCE,"400 UNIVERSITY AVENUE 
23 FLOOR",TORONTO,ON,M5G 1S7,,,,Generic Invoice
Zwiebel & Associates,29 Bangor Road,North York,ON,M2N 2J8,,,,Generic Invoice
